Match Number,HTGD,RED-H,RED-A,POINTS_H,POINTS_A,TOTAL_H_P,TOTAL_A_P,FGS-0,FGS-1,Match_O
392,0,0,0,3,3,76,42,1,0,Win
393,0,0,0,1,3,43,37,1,0,Draw
394,1,0,0,0,3,0,60,0,1,Win
395,0,0,0,0,0,46,39,1,0,Loss
396,0,0,0,0,0,0,65,1,0,Loss
397,1,0,0,0,3,36,83,0,1,Win
398,-1,0,0,0,3,40,85,1,0,Loss
399,0,0,1,0,3,55,49,0,0,Win
400,-1,0,0,0,1,57,87,1,0,Loss
401,0,0,0,3,0,37,0,0,0,Draw
402,-2,0,0,3,0,65,57,1,0,Loss
403,-2,0,0,4,0,0,40,1,0,Loss
404,1,0,1,3,3,42,0,0,1,Win
405,1,0,0,3,4,49,58,0,1,Win
406,2,0,0,3,4,83,43,0,1,Win
407,0,0,0,6,0,85,46,0,1,Draw
408,-1,0,0,3,3,39,55,1,0,Loss
409,0,0,0,3,6,60,76,0,0,Draw
410,0,0,0,1,6,0,49,0,1,Win
411,-1,0,0,3,3,40,39,1,0,Draw
412,0,0,0,6,7,55,85,0,1,Loss
413,0,0,0,7,4,76,87,1,0,Win
414,-2,0,0,4,6,58,83,1,0,Loss
415,2,0,0,3,4,36,37,0,1,Win
416,-1,0,0,4,4,43,0,1,0,Loss
417,-1,0,0,3,6,57,42,1,0,Win
418,-1,0,0,1,4,46,60,1,0,Loss
419,-1,0,0,3,3,0,65,1,0,Loss
420,0,0,0,4,6,39,42,1,0,Win
421,0,0,0,4,6,58,36,0,0,Win
422,0,0,0,10,3,76,0,0,0,Draw
423,2,0,0,6,4,49,43,0,1,Win
424,-1,0,0,4,9,37,83,0,1,Loss
425,-1,0,0,4,7,0,60,1,0,Loss
426,-1,0,0,10,4,85,87,1,0,Draw
427,-2,1,0,6,9,36,49,1,0,Loss
428,0,0,0,5,4,87,37,0,0,Win
429,0,0,0,6,4,42,0,1,0,Loss
430,1,0,0,6,2,57,46,0,1,Win
431,1,0,0,5,9,40,55,0,1,Win
432,0,0,0,7,11,65,76,1,0,Loss
433,1,0,0,10,7,60,39,1,0,Win
434,0,0,0,7,12,39,83,0,0,Draw
